iter	Passed	Remaining
895	3068	356
896	3070	352
897	3073	349
898	3076	345
899	3078	342
900	3081	338
901	3084	335
902	3086	331
903	3089	328
904	3091	324
905	3094	321
906	3096	317
907	3099	314
908	3101	310
909	3105	307
910	3106	303
911	3109	300
912	3111	296
913	3113	292
914	3116	289
915	3118	285
916	3123	282
917	3124	279
918	3127	275
919	3130	272
920	3132	268
921	3134	265
922	3137	261
923	3139	258
924	3142	254
925	3145	251
926	3148	247
927	3150	244
928	3153	240
929	3155	237
930	3157	234
931	3161	230
932	3163	227
933	3165	223
934	3168	220
935	3171	216
936	3173	213
937	3174	209
938	3177	206
939	3180	202
940	3182	199
941	3185	196
942	3187	192
943	3190	189
944	3193	185
945	3195	182
946	3198	178
947	3201	175
948	3203	172
949	3206	168
950	3209	165
951	3211	161
952	3213	158
953	3216	155
954	3220	151
955	3222	148
956	3226	144
957	3228	141
958	3231	138
959	3234	134
960	3236	131
961	3239	127
962	3242	124
963	3244	121
964	3247	117
965	3249	114
966	3252	110
967	3254	107
968	3257	104
969	3259	100
970	3262	97
971	3264	94
972	3267	90
973	3269	87
974	3272	83
975	3274	80
976	3277	77
977	3279	73
978	3282	70
979	3284	67
980	3286	63
981	3289	60
982	3292	56
983	3294	53
984	3297	50
985	3299	46
986	3302	43
987	3304	40
988	3307	36
989	3309	33
990	3312	30
991	3317	26
992	3319	23
993	3321	20
994	3324	16
995	3326	13
996	3328	10
997	3331	6
998	3334	3
999	3337	0
